Sentiment,Content
Negetive,"I have faced this issue many times , once someone call me , I mute it from side button , then again when I try to pick the call it doesn't work , touch stop working.End I press side button once call get disconnected ( I can not off the screen or re-on )I purchase it on 7th aug 2024"
Positive,Best Smartphone under 50k for real. A little heating problem during charging otherwise worth every penny
Negetive,When I received the phone it felt like the brand new..But when I saw the round spot around the camera lense on 2nd day after delivery. I think that amazon fools customer.
Negetive,Received different specification & defective charging cable..
Negetive,"Don't buy expensive products with Amazon and especially Apple products. Once you buy it, it's left to the mercy of apple and Amazon. Neither of them care."
Negetive,I expected better camera quality at such price. but its bad. Selfie is blurry.
Positive,"The iPhone stands out as a testament to the blend of sophisticated design and cutting-edge technology that Apple is renowned for. With each new iteration, the iPhone continues to push the boundaries of what we expect from a smartphone.Firstly, the design of the iPhone is both elegant and functional. The sleek, minimalist look is not just about aesthetics; it's a reflection of the advanced technology housed within. The build quality is exceptional, with a premium feel that you notice the moment you hold it."
Negetive,Front camera wasnít working. Got a defective piece.
Positive,My phone screen got damaged by just applying little pressure. No dents or cracks. Full screen black green and blue. Took 27k just to replace screen by authorised service center.
Positive,"Its been a couple of weeks since i get the phone, everything is perfect but lately i got this issue with over heating, i do not play any games my phone usage is mild but still this heating won't stop. I am out of words because i paid so much for this and still got this issue. Is there anything we can do about this ? Suggestion accepted .Thankiu"
Neutral,Same as I phone 12 ??. Who so ever is reading this review I suggest go for I phone 12
Positive,The camera quality is very good and the proceser is actually surpriseing hai na ki nhi hai hai na tu baas
Positive,"I have seen that many Amazon users have been skeptical about purchasing iPhone from Darshita ezone or Darshita electronics. After I ordered the product red iPhone 13 from Darshita ezone, because of these negative reviews, even I got scared. However, I didn't cancel my order and decided to wait. Though Amazon delivered the order little late than I expected, I have received a genuine iPhone 13 product red. I checked the model number and IMEI number. All are perfect. Have been using the phone for almost 3 weeks now. Even updated to iOS 17. It's a gem. No issues. No problem. Heating is understandable during charging. But that's already expected. Thumbs up to both Amazon and Darshita ezone. And do I need to write about iPhone 13? It's awesome already."
Positive,I am moving from Android to ios for the first time. It is been a marvelous experience to use iPhone. I regret now for being an android user. First of all the speed what they have mentioned as lightening speed yes i have experienced the lightening speed. Anything u share in whatsapp or any app u open it opens up in a flash. When I put the phone on charging it sometimes over heat the phone but now i have identified the reason for it too. Do not use the phone When on charging leave it untouched so that it won't over heat. No sort of pauses aur hanging issues at all.
Positive,It was a good phone basically I thought that the phone will in damaged conditions or refurbished phone or some of the featured list will low and i was afraid of that but it was all ok and i am happie about that and i bought it in great indian sale
Positive,I'm not a iPhone person but red colour is mine ?? my first iPhone purchase so I love camara quality ?? so happy with iPhone 13 ??
Positive,Ok guys we get orginal productColour is red128 gbCharging cable is original as both code are matchingPacking was worst no bubble wrapDelivery assistance was very rudeDon't agree to shoot video of opening parcelAmazon is giving permission to do that but delivery agent was rejecting itKindly improve package wrap some bubble cover
Positive,Such a nice product and seller also before receiving order I am scared about the product and seller but both are good and nice thanks Amazon and the seller
Positive,"I was a Android user after several years I'm buying iphone , Was very sceptical of online ordering I mean the costly items but to my surprise everything went so smooth and very happy with the order. I got best offer and very cheap also got my fav colour red. all I want to say is if you want to get it this is the best time iphone 14 not worth the price if u have older phone jst go to iphone 13 or 15 next year. Amazon op"
Positive,The phone is smooth and less engaging and in gaming it super fast but lowers brightness while. Need an automatic brightness button to switch off
Positive,Great camera and good perfomance. Only issue is glare in night time videos due to light sources.Battery life is also good
Positive,"In love with the product ,Red Colour is just amazing .Got this for less price in great Amazon festival .Value for money , enjoying luxury & apple legacy ."
Positive,"Bought the iPhone 13 from Amazon and it's everything I expected and more. Sleek design, powerful performance, excellent camera, and seamless integration with other Apple devices. Fully satisfied and highly recommend it."
Positive,It's first time I ever purchased an iPhone online I was a bit worried what if i gets a refurbished or pre activated phone but nvm it's all good. Thank you! Definately you can go for it?? I would recommend
Positive,Luv the phone and the camera is awesome
Positive,So beautiful so elegant just looking like a wow
Positive,"I am writing this review after 10 days of using this phone. Now i can relate why no one wants to leave iPhone after using it once. Similarly i never want to switch back to any android phone ever. Thank you amazon for a one day delivery. Reflexive touch, vivid display, amazing camera quality and much more."
Positive,Product is bang on but the box was a bit damaged in the corners
Positive,Previously I was using top of the line android phone like oneplus 8 pro ..but after migrate to apple eco system with iPhone 13 Im mesmerised with the cameras and video quality like DSLR ..and Unbelievable battery life with 7-8 hours SOT with a full day heavy use .. Now I relise Apple is ??
Positive,"Purchased this phone (128 GB version) from Amazon with exchange of one plus 2. With citibank credit card discount, exchange offer, I got it at 67K. Got delviered within 24 hours from Amazon and received original phone. Immeidately checked serail number in Apple website and warranty is geniuine and got it for 1 year.1) Phone will be avaialable with only cable. No adapter.2) Purchased adaptor at Rs.1899 from Amazon. That is also genuine product.3) After using 24 hours, my charge reduced from 100% to 42 %. Good battery.4) Apps  will donwload superfast.5) At the time switching on Iphone will ask for data back up. Please chooose Andriod to Iphone backup and you have to dowload one app in oyur old andriod phone. Iphone display code whcih has to be entered in the app in andriod phone. All contacts, sms, googe drive will automatically transferred to iphone. So easy !6) So far it is good going. Learnig lot...will post you after using few weeks"
Positive,"Great camera , Good sound quality , super screen and good battery life."
Positive,It was an amazing phone either than heating issues we can get an absolute cinematic experience in cinematic mode@apple
Positive,Overall is good
Positive,Handy
Positive,Overall good
Positive,Good
Positive,"As everyone knows it is very Good mobile, but how ever you use battery health percentage will keep decreasing, for me this only issue with iphones"
Positive,Being an Apple user for several years I love iPhones
Positive,good
Positive,Best phone to buy during sale..
Positive,#Camara is outstanding#Battery Backup need improvement#All is well
Positive,NYC looking  amazing  good service
Positive,It's performance is osoom n camera quality is very good
Positive,I received my iphone in very good condition.Thanks amazon .
Positive,I find this perfect colour is amazing I would suggest this to everyone
Positive,"Nothing to say much as iPhone is finally iPhone , only thing of 13 is good price especially during Amazone sale. If anyone is confused between 13, 14, or 15. And if price is factor go for 13"
Positive,Was not thinking to buy it but iphone 14 se zyada acha camera quality laga.No heatingFast chargingDam good displayBeast performanceVery good soundAnd a medium small which I personally donít likeCamera is outstanding
Positive,"Okay so talking about the phone, before the delivery i was worried about the product as i saw there were not many reviews from other buyers about the seller.. But delivery went well and i got the iPhone.No lies the phone is so far good but there's a catch when i unboxed the package the iPhone box had some dirt on it not too much but it was there then inside the box there was the phone which had some of dust particles on it i don't know how but the phone was sealed packed!!Now talking about the phone it's nice and it's been just one day of having it.. Will write a full review after a longer usage then conclude my thoughts on it but ya phone looks and feel in Starlight color is very premium. From switching Android to IOS it's bit a different feel can't explain that but yaa it'll take time to adjust."
Positive,"The iPhone 13 is a solid upgrade, especially for those coming from older models. Its improvements in battery life, camera capabilities, and processing power make it a worthwhile consideration. However, if you already have an iPhone 12, the changes might not be significant enough to justify an immediate upgrade unless the new camera features or increased battery life are particularly important to you"
Positive,Phone looks good as expected and working is amazing.
Positive,"Though I am not so big techy, I am happy to use it easily without any hassles.  The phone is handy, slim and easy to operate.  With little effort, I could use it happily."
Positive,But still using
Positive,Nice
Positive,Amazing very smooth to use
Positive,"Design:The iPhone 13 retains the classic Apple design with a sleek and modern appearance. It's available in various colors, catering to different tastes. The build quality is top-notch, with a Ceramic Shield front cover and durable materials that feel premium in hand.Display:The device features a Super Retina XDR OLED display, which offers vibrant colors, deep blacks, and impressive brightness. It's perfect for watching videos, browsing the web, or gaming. The display quality enhances the overall user experience.Performance:Apple's A15 Bionic chip powers the iPhone 13, and it's a powerhouse. The device handles multitasking and demanding applications with ease. It's an excellent choice for both casual and power users. The performance improvements extend to better gaming experiences and faster app launches.Camera:The iPhone 13's camera system offers impressive photography capabilities. It features a dual-camera setup with sensor-shift optical image stabilization, Night mode, and Deep Fusion. These features result in stunning photos, even in low light conditions. The Pro models offer even more advanced camera options.Battery Life:One notable improvement is the battery life. The iPhone 13 provides all-day battery life, which is a significant advantage for users who rely on their phones for work and entertainment. You can expect long-lasting performance without frequent recharging.Software:The device runs on iOS, Apple's operating system known for its stability, security, and regular updates. iOS 15 brings new features like Focus mode, improved notifications, and enhanced FaceTime capabilities, which enhance the overall user experience.Connectivity:The iPhone 13 supports 5G connectivity, ensuring faster download and streaming speeds. It's also equipped with Wi-Fi 6 and offers a seamless online experience."
Positive,"I got 100% original product that too with proper packaging and no defect. Display, sound quality, camera all were perfect.Charging code is in the box with iphone"
Positive,Name at its best
Positive,Pros :- 1) Offcourse a clean apple os2) A beast for gaming3) Battery backup decent4) Display is best in the segment5) The feel when keeping it in hand was awesomeCons :- 1) Camera performance was very much decreased after upgrading to ios 17.4.12) Heatís much while gaming and not using the a seperate fan for device
Positive,excellent product!! Amazon is great like jeff bezos
Positive,Over performance of the phone is nice
Positive,I realy happy about its performanceBut its Battry health will decrease rapidly ëat last it is a good choice to buy an iPhone  ??
Positive,"Nice phone , iam fully satisfied this phone"
Positive,Value of money. Very hard and tough. Working normal even after sinking in water two times.
Neutral,Donít like it
Positive,"Battery time was low , often need to charge two times a day"
Neutral,Alert slider is lose on my phone Ö. How did it happenedÖ.apple or amazon plz replace my product
Positive,1. Touch Screen ??2. Camera quality too good3. No heat issue4. Sound is Cristal clear5. Easy to use Cheap price value of money ??
Positive,This device is worth buying.Amazing ??
Positive,sometimes overheating issues
Positive,Using This phone for 1 month battery needs to be upgraded otherwise it is good.
Negetive,While charging too much battery heating problem happened
Positive,I have been using iPhone 13 for the last 1 month. A great experience.Right now ios17.1 runningJust captivateing stuff
Positive,Good product
Positive,"This is my first iPhone shifted from an android and gosh this is such an awesome phone, very well managed battery usage awesome camera video camera quality top of the line?????? and plus itís so smooth and no ads or bloatware apps like in android just superb only two issue slow battery charging and 60hz refresh rate feels lil bit slow my last device was of 120 hz"
Positive,"Using iPhone 13 from three days, it is running smooth. Till now I used iPhone 5S, SE1,SE2 and 11. Compared to all these it is very smooth while using."
Positive,Camera quality is not up to the mark.Battery life is averageEasy to access
Positive,"iPhone 13 best in all categories except battery, battery drain out in 5-6 hrs with moderate use"
Positive,From android to iPhone is difficult for me there are lots of things that android user feel the android feature in iPhone
Positive,Fine product and value for money
Positive,Best phone
Positive,"Apple iPhone is my dream mobile. I am loving this till now, the only concern I'm feeling is, since it is a bit older version the OS updates may be less in the future."
Positive,"If you thinking to buy iphone 13, wait till great indian sale and bbd sale...you will get best discount on it...and in 2024 buy iphone 14...but if your budget id tight buy iphone 13."
Positive,Amazing camera ????
Positive,Satisfied
Positive,"Design:The iPhone 13 retains the iconic design of its predecessors, but with some subtle refinements. The overall construction is sleek and elegant, featuring a durable aerospace-grade aluminum frame and ceramic shield front cover for improved durability. The device is available in a range of attractive colors, catering to different aesthetic preferences.Display:One of the most significant upgrades is the stunning Super Retina XDR display, which offers vivid colors, deep blacks, and outstanding brightness. The improved refresh rate provides smoother scrolling and more responsive touch interactions, making it a delight to use for various tasks, from browsing the web to watching videos and playing games.Performance:Powered by the latest A15 Bionic chip, the iPhone 13 delivers exceptional performance across the board. The processing power ensures seamless multitasking, swift app launches, and impressive gaming capabilities. The neural engine's advancements further enhance machine learning tasks, contributing to better efficiency and smarter features.Camera:The iPhone 13's camera system is a standout feature, significantly raising the bar for mobile photography and videography. The dual-camera setup, comprising wide and ultra-wide lenses, captures stunning images with sharp detail, accurate colors, and improved low-light performance. The addition of Cinematic mode for video recording introduces a new level of creativity, allowing users to achieve professional-looking focus transitions and selective focus effects.Battery Life:The iPhone 13 boasts impressive battery life, keeping pace with the demands of modern usage. Whether you're streaming content, navigating with GPS, or engaging in video calls, the device offers extended endurance, reducing the need for frequent recharging. This improvement is a game-changer for users who rely on their smartphones throughout the day.Connectivity:With support for 5G networks, the iPhone 13 ensures faster download and upload speeds, enabling seamless streaming, swift downloads, and lag-free online experiences. The expanded 5G coverage allows users to stay connected in more locations, tapping into the potential of next-generation connectivity."
Positive,"Outstanding Mobile??, Face Id Very Fast Even in night mode, Battery backup almost 1 day, Camera is superb, If your budget is around 60-70k, Go for it????"
Positive,Apple cheap company does not give a charger in the box.
Positive,Disappointed due to defect in camera.
Positive,"I am happy with this purchase. I purchased it at a good price, and it has excellent features. Love it."
Positive,Have switched to iPhone from android. The display and UI/UX is just uncomparable. Loving every part of it.
Positive,"Nice product.But, delivery was late. I didn't get any updates for late delivery reason. I had to follow up with Amazon chat support."
Positive,"Excessive heating while setup, backup n restore"
Positive,WOW
Positive,Excellent product
Positive,"Best value for money amongst 13, 14 and 15"
Positive,"I recently upgraded to the iPhone 13, and I couldn't be happier! The sleek design, stunning display, and lightning-fast performance make it a standout device. The camera quality is exceptional, capturing every moment with clarity and precision."
Positive,Nice
Positive,Got this in sale for a super value price. Phone is good one can find lots of reviews on it elsewhere.One star reduced because amazon collected 1k more at the time of exchange on a flawless phone exchange with no reasons and complaint which was raised to be resolved in 72hrs is on shelf.  Be careful with exchange sometimes it can be misleading.
Positive,very good iphone
Positive,Genuine Seller.
Positive,On time delivery and smooth process
Positive,"Its for my mom upgrading from legacy iPhone plus which itself held up very well across years.Got it during the 2023 sale and that price made it a no brainer  for value , performance and future proofing .The familiar OS will be intuitive across her phone and IPad Air just that charger is now different - phone with lightening and iPad with usb c Compared to my 14 thereís barely a difference - and will hold good for the next 3-5 years without a hitch."
Positive,Good
Positive,Good phone but some camera quality issue compare to Samsung fold 5 camera is best
Positive,Super super super
Positive,The colour(green) looks better that expected. Received safely.+ NotSealPack
Positive,Good to use
Positive,Mai Samsung s21 ke phone se iphone 13 m aaya hun ... to mera iphone ka experience aisa hai ki lagta hai 5 saal pichhe aa gya hun.... fingerprint nahi hai ... use karne m problem hoti hai.... Android best hai.... camera theek hai lekin s21 ka jyada achha tha .. s21 ka portrait photo mast hai aata tha...Agar mai apne s21 se compare karu to iphone ki charging slow hai .... display kamjor hai ... brightness down hai ... battery life low hai... screen ki htZ bhi slow hai ...Achha hai to only processor..... aur wo kta huwa apple ??
Positive,Nice phone delivered
Neutral,Good phone in budget
Positive,"Go for it,??"
Positive,"First thing first, checked if the product was original or not. For that, check the following1. If the screen has ìTrue Toneî option.2. Check the Serial Number for ìMî letter, indicates its new unit.3. Check if IMEI number of the product is same as mentioned on the box.4. Battery Health should be 100%.Pros:1. Camera is one of the best I have used so far.2. Haptic feedback is very great. I noticed it instantly.3. Battery optimisation is very good. Itís been more than a month and I have never charged it more than 85%. Still I get a days battery easily.4. OS. I have used Android before this. And change in OS was good change as well.Cons:Charge speed is slow. I only charge it when the battery % is around 20%. And it takes 1 to 1.5 hr to charge.Comments:I donít play any games or do any heavy usage tasks on phone. Itís just daily tasks like social media, YouTube, etc."
Positive,Camera quality is just awesome ??Battery life is also niceOnly problem you will face if you switch from Android is refresh rateAnd don't know but apple keyboard isn't made for chatting or typing in lo al language.
Positive,"Iíve been using the iPhone 13 for the past 3-4 months, and I am thoroughly impressed with its overall performance. The A15 Bionic chip ensures smooth and lag-free operation, making multitasking a breeze.The camera quality is a standout feature, capturing vivid and detailed photos in various lighting conditions. The Night mode improvements are noticeable, delivering clear and sharp images even in low-light environments. The Cinematic mode for videos adds a professional touch, creating engaging and dynamic content.The battery life has been reliable, easily lasting a full day with moderate usage. The 120Hz ProMotion display contributes to a silky-smooth experience, enhancing gaming and video playback.The design is sleek and feels premium, while the Ceramic Shield front provides added durability. The introduction of 5G connectivity ensures fast data speeds, enhancing the overall user experience.While the absence of a charger and earphones might be a drawback for some, the iPhone 13ís performance, camera capabilities, and design make it a worthwhile upgrade. Highly recommended for those seeking a top-tier smartphone experience."
Positive,If under 45k go for it  never get regret
Positive,Itís a awesome ??
Positive,Does it really need review?
Positive,Nice product in this price range....Go for it
Positive,Value of money product.brightness display battery all over good
Positive,"Excellent Processor, Crisp display, stunning camera"
Positive,Good but battery problem display is good charger is good sound good performance is good but battery issues
Positive,Trend setter ?????
Neutral,NYC
Positive,Quality wise ?? ?? ?? thank you Amazon ?? ????
Positive,Damnn ?? first time iphone user and trust me my experience with this one is god damnn unbelievable. ?????? it Looks great. Audio Quality is good and the Camera Quality ison another level ???? all over i loved it so much... ????
Negetive,Bad item
Positive,Thanks a lot Amazon for the early delivery. Thanks to Appario also. Received a genuine iPhone 13 256 GB and it was verified by Apple remote diagnostics. The phone is really awesome.. Camera is more than my expectation and music is unbelievable. Battery is easily giving me 1.5 days of backup.. Amazing experience. Loving it....
Positive,Camera is goodLooking elegantBattery is hopeless
Positive,"The iPhone 13ís brighter display, longer battery life and powerful cameras make it the best iPhone for the money. But we wish it had faster charging and the iPhone 13 Pro.Pros+Brighter display+Great cameras+Compelling Cinematic video mode+Class-leading performance+Very good battery life"
Positive,"Amazing phone , Amazing Battery life , Stunning camera , and the videos are like wooooow , every one is sure to ask you which device did you use to upload these premium quality videos . Battery is rocking gives more than a day backup"
Positive,Delivery is pretty quick got in one day .Camera quality is very good and phone is supersmooth just like a butter and this is 256 Gb variant .Thanks amazon and Appario for selling original product in well discounted price.
Positive,"Well, i just love my iphone. No complaints. Just took some time to adjust to this but now it's perfect."
Negetive,Received iPhone 13 with broken seal
Negetive,"Things to remember before you buy an Iphone -1) It is good only untill its warranty is there, for extended warranty, it is 10k approx for one year.2) Under warranty also, it's resell value is only 25k in Apple store, so this itself explains that the mobile is over-priced, and that's why resell value under warranty is 25k which is it's actual value.3) Once the warranty expires - Apple will keep on bringing in updated versions and the updated versions will mall function in a 1 year old Iphone as well. Problems include - Green screen, network issues, etc.4) Many people Iphones underwent Green Screen after the latest update and as their Iphone was not under warranty had to spend 400$ or 11k to 15k depending upon their model for screen repair or change. Meaning Apple company will release update, because of which the Iphone will malfunction and people have to spend money inorder to repair it.5) Iphone - covers, tampered glass are all very expensive and are of third class quality and design. Even after spending 1500 to 2000 INR for an Iphone cover, it will last only for 6-8 months. After that, either it will become dull, dirty or look ugly or pale. An android cover of 250 Rs also functions the same way.6) Apps - That is a total scam everyone knows that. You have to pay for many apps and many apps are still unavailable in App StoreMoral of the story -You can buy an expensive Iphone and use it comfortable for a year or maximum 2. So, if you are ready to spend so much money just for a year, it is the best mobile. For long run, this is just a scam that it will last for a long run.Joke of the year - You will be prompted with features that Iphone and Macbook's only have! - The only issue is, comman man never uses those features! So, people inorder to prove that this is a very unique feature, unnecessarily use it, show it and claim that it could be done only because they have an Iphone. Kudos to them for doing something alien!"
Positive,iPhone is good but they are double the cost for what they offerMaybe thrice
Positive,"9,/10"
Positive,Good product
Positive,Nyc phone
Negetive,It was excellent
Positive,Just canít express my feeling.I am switching to ios from android and its super amazing. I was a bit worried at the time of delivery as I havenít get the option for open box inspection. Rest all is fine . And about the phone there is no word which describes its . The most amazing and popular phone on the planet. Works really amaze
Positive,"Product is just wao...... But it took 15days to deliver and the packaging was very very poor, there was no plastic bag covered.. For packaging iam giving 1star only"
Positive,"Finally upgraded from my iPhone 7 to this, with my own money :))Super happy and grateful, still getting used to the larger screen.Everything works perfectly, games, battery life, software (now on iOS 16 public beta)But one thing I am super impressed by is the Wide Angle camera, maybe because this is my first time, but the results are insane!Something similar to fish-eye lenses!Will get some accessories as well, I already feel at home with the phone :))Thanks for reading!"
Positive,Good
Positive,Very nice ?????
Positive,Its My First iPhone and i was under assumption for it to be a big deal to have one.Not Upset with the purchase. Obviously proud to own one. Could have been Better.
Positive,"I am very pleased that I bought the original iphone 13.Just shifted from Android to iOS .. The new iphone 13 is a great phone with a lot of improvements. It has the best camera on the market..it works good in low light, the software is much improved, and the battery life is long lasting.Got this for - 66 K"
Negetive,"Now filpcart is offering open box delivery but Amazon just giving so called secure delivery.. the delivery person even not allowed me to see the package is tampered or ok at time of deliveryÖ my friend also have the same experience with Amazon n delivery person. Although I got genuine product, but everybody concerned about right product delivery. Amazon is my first choice when it comes to online shopping, but Amazon should be taken care of that and have to introduce open box delivery.  ?????? moreover Amazon offers open box delivery for dishwasher, TVs etc.. where chances are very less to have product issues or missing.. lastly you will get open box delivery for a Tv of 32î purchased @ around 10k but not for a IPhone like products even costing from few thousand to around one n half lack???? still donít go with Flipkart they are looting customers even after giving open box deliveryÖ many fraud sellers are registered on Flipkart Ö so if having to much concern directly go to store n purchase there, even at store you can get card discounts n cash back like offers. In worst case you will pay 2 3k more as compared to online shopping but you will surely get original productsÖ choice is yoursÖ.????"
Positive,Good working condition
Positive,"What a brilliant creation from apple , totally loved it."
Positive,For iPhone lover definitely should buy iPhone 13 rather than iPhone 14&15
Positive,"This device doesnt need any review as there are tons online , but as per my experience its all rounder champ. I bought 256 gb variant. All good till now.Just bit spectacular about the software updates if apple deliberately tries to downgrade the experience and camera quality.Camera quality:I felt iphone 14 gets better result not sure why? Although both device have same camera specs , is apple doing something fishy?Battery:Is decent ,usually lasts for a day."
Neutral,"Hi, I was android user for tha last 7 years. I decided to switch to IOS finally.First of all 128gb variant was out of stock, so had to buy the 256 gb variant. I have used it for few months, and i have mixed opinions. I will list the cons and pros:-Pros-1) Battery life is awesome. Easily goes a day without charging twice with good amount of social media usages.2) Really smooth UI experience. Feels like 90 fps.3) Display is top notch. Though the screen size could have been bigger.4)Charging is fast as compared to other 20W charging phones.5) Good face unlock feature.6) Great picture quality tho there are some problems i have discussed in cons.6) feels and looks premiumCons:-1) Not android friendly. If u are switching from android, u will find it very difficult to use.2) Sells by the name of privacy, but no privacy features like app lock, lock during calls is available.3) Few apps stop working very often. This maybe just with my device as i have doubts that i have recieved a defective device.4) Slo mo videos lags and skip frames on my device. Will get it check by service center.5)No c type support6) Notification management is very poor.7) lack of fingerprint scanner( only android users)8)file system is very bad . They say that it is so to secure the privacy. But it really sucks.So, if u can go with the cons listed above u can consider it to buy. I will recommend continue to stick to android. For less price you can get a better deal."
Positive,Everything is good except amazon delivery time... Almost 25 days required to get this product
Positive,Good without any issues.
Neutral,"Apple Marketing has done quite a good job month after month to keep people on their toes with their new launches where there is nothing great about this phone. I have been on Android for almost inception of phones and switching to iPhone is just a pain.1. No guide or help to transfer your critical data(Move to iOS doesnt work at all with high amount of data transfer.If you want to buy, go to brick and motor shop and get your data transfer then and there.2. Over hyped phone, nothing great i have found in the phone. May be i will find it better.3. Total stuck with ecosystem.4. At 90K they don't provide charger and are selling the same as extra. Total cheap strategy to earn more and promote their magsafe.I am not a happy customer till now! In a world where we talk about openness and open for integration, apple gives you a kind of black box... Boo to Apple!"
Positive,Good product
Neutral,I feel that my last ASUS android phone had a better battery life. An earlier iPad had a much much longer battery life.Rest is ok but the only issue that I am facing is with the battery.
Negetive,iPhone is not functioning properly no Internet is deducting from sim only wifi is working
Positive,"No cons, only prosCamPerformanceBatteryAll rounder"
Positive,"It took more than 4 days to arrive, packaging was not that protective either, the product could have been damaged but thank god its not.I was not confident enogh before ordering it from appario retail, looking at the reviews and complains all over the internet for seller, but everything is fine i got the device without any issues."
Positive,"Iphone 13 is as good as iphone 14 , same specifications but different names, but it is not a better phone than iphone 15 ??, some ppl consider camera performance to compare it with iphone 15 , those things are fake ??"
Positive,Is the best phone
Positive,camera quality is top
Positive,Best but worst cable was given
Positive,Loved the Product
Positive,"This phone camera good quality display 4K best but charging time phone heating ,battery life average hai"
Positive,"Good quality phone, sadly the relationship didnít last but the phone will."
Positive,"The iPhone 13 is a stellar device that excels in various aspects, making it a top choice for anyone in the market for a new smartphoneDesign (5/5):The iPhone 13 boasts a refined and stylish design. Its build quality is top-notch, with a Ceramic Shield front cover and a robust aluminum frame. The color options are attractive, and the device feels great in the hand.Display (5/5):The Super Retina XDR display is a true showstopper. The colors are vibrant, and the contrast is exceptional. With a peak brightness of 800 nits, it's easy to view content even in bright sunlight. HDR content looks stunning, making it perfect for multimedia enthusiasts.Performance (5/5):Thanks to the A15 Bionic chip, the iPhone 13 delivers remarkable performance. It handles everything from multitasking to intensive gaming with ease. Apps launch quickly, and you'll experience minimal lag. This phone is a powerhouse.Camera (5/5):The dual-camera system on the iPhone 13 captures stunning photos and videos. The Night mode improvements are impressive, and the Cinematic mode adds a creative touch to videos. Whether you're a pro or a casual photographer, this phone will not disappoint.Battery Life (4.5/5):The battery life is commendable, easily lasting a full day with moderate usage. The new A15 chip is energy-efficient, which helps extend usage time. Fast charging and wireless charging support are valuable additions.Overall, the iPhone 13 is a remarkable smartphone that combines style, performance, and functionality. It's an investment in quality, and its reliability and future-proof features make it worth every penny. Whether you're upgrading from an older iPhone or switching from another brand, the iPhone 13 will not disappoint."
Neutral,Not good as expected
Positive,DISPLAY IS 10/10 PEAK BRIGHTNESS IS CRAZYBATTERY LASTS A DAY WITHOUT ANY ISSUESIT TAKES ABOUT 45 MINUTES TO JUICE UP FROM 30% TO 90%TILL NO ISSUE WITH THE IOS 17.0.3 EVERYTHING IS SMOOTH AND THERE ARE LOT OF CUSTOMIZATION WHICH I LIKE THE MOSTSOUND IS CRYSTAL CLEAR AND LOUDCAMERA IS KIND OF AVERAGE FOR PHOTOS AND NIGHT PHOTOGRAPHY REALLY SUCKSBUT IN CASE OF VIDEO THIS PHONE IS BEYOND COMPARISONTHERE IS NO COMPETITION FOR IPHONE IN TERMS OF VIDEOGRAPHYIN HAND FEEL IS VERY NICE AND ESPECIALLY THE DESIGNFEELS VERY PREMIUM IN HANDI GOT IT FOR AROUND 43K IN BBDFOR 43K THERE IS NO BETTER PHONE THAN THISTHE ULTIMATE ALLROUNDERI'M HIGHLY SATISFIED WITH THE PURCHASE
Positive,DELIVERED AS EXACTORIGINAL COLORMODEL AS EXPECTED ????
Positive,Its been more than 3 months since i purchased this during great Indian festival season in oct... quality is impressive... packaging is impressive but only one thing that i give it 4stars that amazon didn't provide open box delivery for this order....?? otherwise no issues...
Positive,Great Phone
Positive,"Good camera, nice performance, excellent display, fabulous sound"
Positive,Good product
Negetive,First of all they will deliver the mobilelateThey will then show the mobile exchange app the mobile is nt proper even when it's working fine.And have to pay remaining amount.They have sold the mobile..
Neutral,"Those who have been using Android phones may find iOS very limited in features. For example, you will have to pay for the premium plan of Truecaller if you want to monitor real-time calls for spam/block.The dialer app on iOS is a mess. It's tedious to find and locate a contact from within the dialer app.Using Gmail, Google Photos and other Google ecosystem apps that they have been using over years flawlessly is also no so smooth and flawless.Using iOS has come to me as a shocking experience of using my phone with excessive restrictions of the OS.Even the apps on Android OS are more flawless and smooth than on iOS.Last but not the least, if you're using Windows on your PC/laptop, an Android phone compliments more than what an Apple phone does. To this, you can see how seriously Microsoft is developing apps for Android.So, it was a productivity loss to switch from Android to iOS if you're a Windows user."
Positive,Product was good...but disappointed is that apple company provid the charger also in box.
Positive,It was a awesome experience to have a brand new pink iphone 13.I have got My new iphone today it was a amazing  experience. Though a little difficult to accept the changes of Android to iOS but as it is said changes are for good so very excited to share more feedbacks
Positive,Overall good
Negetive,Camera quality very bad like Android phone below Rs 4000 is this original product or duplicate product what to do or any option for camera setting I tried all settings option but not satisfied camera quality.
Positive,Very good productÖnice packing and delivery on time..thank u Amazon..
Positive,Great
Positive,iPhone is best
Positive,Working good
Positive,Nice
Positive,Awesome experience after uses. It is totally value of money.
